                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.60213,                0.45833,                 1.0796,                0.81844,                0.82364,                0.82881,                0.60876,                 1.0546,                 1.0263,                  1.634,              0.0004951,              0.0004951,              0.0004951
                     54,                0.59206,                0.45597,                  1.088,                0.78265,                0.82419,                0.81287,                0.60377,                 1.0207,                  1.026,                 1.6276,              0.0004852,              0.0004852,              0.0004852
                     55,                0.62341,                0.45687,                 1.0931,                0.77993,                0.81765,                0.81124,                 0.5897,                 1.0713,                 1.0232,                 1.6757,              0.0004753,              0.0004753,              0.0004753
                     56,                0.58327,                0.43847,                 1.0773,                0.84476,                0.77301,                0.81695,                 0.5907,                 1.1164,                 1.0457,                 1.6903,              0.0004654,              0.0004654,              0.0004654
                     57,                0.58168,                0.46103,                 1.0878,                  0.766,                0.81926,                0.82024,                0.57534,                 1.1113,                 1.0499,                 1.6839,              0.0004555,              0.0004555,              0.0004555
                     58,                0.62061,                0.46585,                 1.1059,                0.75897,                0.81908,                0.81444,                0.57304,                 1.0684,                 1.0818,                 1.6574,              0.0004456,              0.0004456,              0.0004456
                     59,                0.59717,                0.45576,                 1.0962,                0.85124,                0.70884,                0.80916,                0.59998,                 1.0242,                 1.0115,                 1.6244,              0.0004357,              0.0004357,              0.0004357
                     60,                0.59957,                0.44284,                 1.0875,                0.85452,                 0.7165,                0.81421,                 0.6025,                0.99324,                 0.9558,                 1.5764,              0.0004258,              0.0004258,              0.0004258
                     61,                0.59012,                0.45232,                 1.0809,                0.79361,                0.82082,                0.83155,                0.63117,                 1.0061,                 0.9554,                 1.6163,              0.0004159,              0.0004159,              0.0004159
                     62,                0.61145,                0.44698,                 1.0955,                0.67591,                0.85182,                0.72849,                0.52545,                 1.0974,                 1.0709,                 1.6551,               0.000406,               0.000406,               0.000406
                     63,                0.59245,                0.44794,                 1.0849,                0.76543,                0.85254,                0.80845,                0.59096,                 1.0796,                 1.0774,                 1.6529,              0.0003961,              0.0003961,              0.0003961
                     64,                0.55225,                0.42518,                 1.0614,                0.82381,                0.85906,                0.83221,                0.59249,                 1.0764,                 1.0421,                 1.6905,              0.0003862,              0.0003862,              0.0003862
                     65,                0.57718,                0.42421,                 1.0752,                0.83455,                0.83539,                0.83355,                0.60807,                 1.0155,                0.95966,                 1.6513,              0.0003763,              0.0003763,              0.0003763
                     66,                0.55879,                0.42127,                 1.0586,                0.78936,                0.84401,                0.82171,                0.57892,                 1.0454,                0.95049,                 1.6815,              0.0003664,              0.0003664,              0.0003664
                     67,                0.57202,                0.41726,                 1.0876,                0.82131,                0.78613,                0.83058,                0.61159,                 1.0297,                0.96295,                 1.6454,              0.0003565,              0.0003565,              0.0003565
                     68,                0.54433,                0.42111,                 1.0583,                0.76095,                0.81328,                0.83286,                0.61461,                 1.0168,                0.98626,                 1.5907,              0.0003466,              0.0003466,              0.0003466
                     69,                0.52368,                 0.3999,                 1.0559,                  0.775,                0.81752,                0.81145,                0.60007,                 1.0248,                 1.0073,                 1.6277,              0.0003367,              0.0003367,              0.0003367
                     70,                0.55933,                0.41627,                 1.0811,                0.74211,                0.82897,                 0.7947,                0.58478,                0.99712,                 1.0462,                 1.6317,              0.0003268,              0.0003268,              0.0003268
                     71,                0.57482,                0.43037,                 1.0776,                0.70502,                0.85278,                0.79477,                0.56766,                0.99121,                 1.0404,                  1.605,              0.0003169,              0.0003169,              0.0003169
                     72,                0.56029,                0.40621,                 1.0689,                 0.6818,                0.85028,                0.80514,                0.58354,                 1.0467,                 1.0944,                 1.6588,               0.000307,               0.000307,               0.000307
                     73,                0.55885,                0.41853,                 1.0753,                0.72751,                0.85214,                0.81187,                0.56208,                 1.0392,                 1.0269,                 1.6405,              0.0002971,              0.0002971,              0.0002971
                     74,                0.54565,                 0.4053,                 1.0713,                0.76999,                0.84833,                0.79003,                0.54998,                 1.0527,                 1.0497,                 1.6639,              0.0002872,              0.0002872,              0.0002872
                     75,                0.56894,                0.42735,                 1.0736,                0.70666,                0.84897,                0.72728,                 0.5173,                 1.0735,                 1.0818,                 1.6636,              0.0002773,              0.0002773,              0.0002773
                     76,                0.52452,                0.40395,                 1.0569,                0.75782,                0.79983,                0.80149,                0.57953,                 1.0293,                 1.0487,                 1.6173,              0.0002674,              0.0002674,              0.0002674
                     77,                0.53409,                 0.4012,                 1.0451,                 0.7958,                0.80321,                0.78747,                0.58009,                  1.009,                 1.0821,                 1.5807,              0.0002575,              0.0002575,              0.0002575
                     78,                0.53133,                 0.3876,                 1.0468,                0.82705,                0.83798,                0.80841,                 0.5797,                 1.0131,                 1.1156,                 1.5787,              0.0002476,              0.0002476,              0.0002476
                     79,                0.49024,                0.37407,                 1.0281,                0.78616,                0.82202,                0.78514,                 0.5627,                 0.9927,                 1.0939,                  1.603,              0.0002377,              0.0002377,              0.0002377
                     80,                0.50338,                0.37029,                  1.038,                 0.7586,                0.82225,                 0.8053,                0.57945,                 1.0059,                 1.0665,                 1.6481,              0.0002278,              0.0002278,              0.0002278
                     81,                0.53702,                0.38692,                 1.0517,                0.76959,                0.82154,                0.81724,                0.58379,                 1.0353,                 1.0741,                 1.6751,              0.0002179,              0.0002179,              0.0002179
                     82,                 0.5146,                0.38805,                 1.0419,                0.79879,                0.82031,                0.82454,                0.59735,                 1.0263,                 1.0059,                 1.6422,               0.000208,               0.000208,               0.000208
                     83,                0.50627,                0.38137,                 1.0323,                0.80591,                0.82041,                0.84003,                0.61189,                 1.0298,                0.98556,                  1.644,              0.0001981,              0.0001981,              0.0001981
                     84,                 0.5131,                0.38542,                 1.0425,                 0.8073,                0.81703,                0.85491,                0.62624,                 1.0145,                 0.9727,                 1.6448,              0.0001882,              0.0001882,              0.0001882
                     85,                0.49996,                0.38448,                 1.0352,                0.82687,                0.80245,                0.83533,                0.61392,                 1.0348,                 1.0327,                 1.6659,              0.0001783,              0.0001783,              0.0001783
                     86,                0.50515,                0.39336,                 1.0436,                0.83113,                0.79617,                0.83181,                 0.6103,                 1.0136,                 1.0283,                 1.6182,              0.0001684,              0.0001684,              0.0001684
                     87,                0.48612,                0.36623,                 1.0197,                0.82046,                0.80176,                0.82276,                0.62455,                0.98995,                 1.0371,                 1.5881,              0.0001585,              0.0001585,              0.0001585
                     88,                0.50595,                0.37665,                 1.0303,                0.81487,                0.80618,                0.81361,                0.61064,                0.98474,                 1.0645,                 1.5871,              0.0001486,              0.0001486,              0.0001486
